f_version;f_equipo;f_hor_plan_s;f_hor_ter_s;f_hor_pend_s;f_hor_cap_d;f_hor_cap_c;f_hor_act_d;f_hor_act_o_d;f_hor_act_o;f_nro_req_pl;f_nro_req_t;f_nro_req_pe;f_nro_inc_pl;f_nro_inc_t;f_nro_inc_pe;f_nro_req_n;f_nro_rec;f_dias_sla_s;sumatoria
1.18.1130;Uno.8_5 NM - MLB;143;183;0;0;0;644;6;197;13;13;0;31;31;0;71;0;79;1411
1.19.0131;Uno.8_5 NM - MLB;145;144;0;0;0;252;5;266;15;15;0;21;21;0;59;0;184;1127
1.19.0329;Uno.8_5 NM - MLB;232;423;0;0;0;251;27;116;16;16;0;43;43;0;147;0;334;1648
1.19.0531;Uno.8_5 NM - MLB;332;444;0;0;0;368;99;297;31;31;0;35;35;0;84;0;230;1986
1.19.0731;Uno.8_5 NM - MLB;142;252;0;0;0;191;31;521;10;10;0;26;26;0;74;0;88;1371
1.19.0930;Uno.8_5 NM - MLB;149;234;0;0;0;469;81;214;18;18;0;21;21;0;55;0;52;1332
1.19.1129;Uno.8_5 NM - MLB;320;251;0;487;70;454;52;291;14;14;0;15;15;0;48;2;75;2108
1.20.0131;Uno.8_5 NM - MLB;184;234;0;475;68;456;74;228;17;17;0;28;28;0;56;2;56;1923
1.20.0331;Uno.8_5 NM - MLB;256;322;0;485;76;350;114;189;23;23;0;41;41;0;72;2;91;2085
1.20.0529;Uno.8_5 NM - MLB;110;125;0;0;0;416;85;284;9;9;0;26;26;0;39;0;26;1155
1.20.0731;Uno.8_5 NM - MLB;163;237;0;0;0;469;42;364;10;10;0;25;25;0;37;0;47;1429
1.20.0930;Uno.8_5 NM - MLB;143;196;0;0;0;437;48;367;9;9;0;23;23;0;36;0;67;1358
1.20.1130;Uno.8_5 NM - MLB;145;168;0;0;0;477;76;285;19;19;0;24;24;0;56;0;69;1362
1.21.0129;Uno.8_5 NM - MLB;140;167;20;0;0;484;62;319;7;5;2;33;33;0;52;0;62;1386
1.21.0331;Uno.8_5 NM - MLB;244;225;25;0;0;491;74;270;21;18;3;34;34;0;62;0;185;1686
1.21.0531;Uno.8_5 NM - MLB;263;162;153;0;0;325;60;131;17;10;7;14;14;0;28;0;12;1196
1.21.0730;Uno.8_5 NM - MLB;94;0;94;0;0;0;0;0;6;0;6;0;0;0;0;0;0;200
